year,reporter,trade_flow,partner,hs_code,commodity,unit_type,quantity,net_weight,fob_value
2023,Brazil,exported_to,Paraguay,120600,"Oil seeds; sunflower seeds, whether or not broken",kg,26300.0,26300.0,27267
2023,Brazil,exported_to,Paraguay,120740,"Oil seeds; sesamum seeds, whether or not broken",kg,62100.0,62100.0,92529
2023,Brazil,exported_to,Paraguay,120770,"Oil seeds; melon seeds, whether or not broken",kg,1190.0,1190.0,145634
2023,Brazil,exported_to,Paraguay,120799,"Oil seeds and oleaginous fruits; n.e.c. in heading no. 1207, whether or not broken",kg,5.0,5.0,46
2023,Brazil,exported_to,Paraguay,120810,Flours and meals; of soya beans,kg,70000.0,70000.0,62500
2023,Brazil,exported_to,Paraguay,120890,Flours and meals of oil seeds or oleaginous fruits; excluding soya beans and mustard seeds,kg,546.0,546.0,1062
2023,Brazil,exported_to,Paraguay,120922,"Seeds of forage plants; clover (Trifolium spp.) seeds, of a kind used for sowing",kg,8.0,8.0,48
2023,Brazil,exported_to,Paraguay,120925,"Seeds of forage plants; rye grass (Lolium multiflorum Lam., Lolium perenne L.) seeds, of a kind used for sowing",kg,4.0,4.0,8
2023,Brazil,exported_to,Paraguay,120929,"Seeds of forage plants; other than lucerne, clover, fescue, Kentucky blue grass, and rye grass seeds, of a kind used for sowing",kg,1754092.0,1754092.0,6147015
2023,Brazil,exported_to,Paraguay,120930,"Seeds of herbaceous plants; cultivated principally for their flowers, of a kind used for sowing",kg,17.0,17.0,7960
2023,Brazil,exported_to,Paraguay,120991,"Seeds; vegetable seeds, of a kind used for sowing",kg,18389.0,18389.0,1302166
2023,Brazil,exported_to,Paraguay,120999,"Seeds; n.e.c. in heading 1209, of a kind used for sowing",kg,1.0,1.0,427
2023,Brazil,exported_to,Paraguay,121020,"Hop cones; ground, powdered or in the form of pellets; lupulin",kg,2280.0,2280.0,45855
2023,Brazil,exported_to,Paraguay,121120,"Ginseng roots, of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered",kg,5.0,5.0,27
2023,Brazil,exported_to,Paraguay,121190,"Plants and parts (including seeds and fruits) n.e.c. in heading no. 1211, of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered",kg,24093.0,24093.0,105652
2023,Brazil,exported_to,Paraguay,121221,"Seaweeds and other algae; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",kg,29.0,29.0,7204
2023,Brazil,exported_to,Paraguay,121229,"Seaweeds and other algae; not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",kg,5.0,5.0,60
2023,Brazil,exported_to,Paraguay,121300,"Cereal straw and husks; unprepared, whether or not chopped, ground, pressed or in the form of pellets",kg,69.481,69.481,48
2023,Brazil,exported_to,Paraguay,121490,"Forage products including swedes, mangolds, fodder roots, hay, sainfoin, clover, forage kale, lupines, vetches etc., pelletised or otherwise",kg,30000.0,30000.0,7507
2023,Brazil,exported_to,Paraguay,130120,Gum Arabic,kg,1.0,1.0,14
2023,Brazil,exported_to,Paraguay,130190,"Natural gums, resins, gum-resins and oleoresins, n.e.c. in heading no. 1301",kg,27669.0,27669.0,65659
2023,Brazil,exported_to,Paraguay,130213,Vegetable saps and extracts; of hops,kg,700.0,700.0,29750
2023,Brazil,exported_to,Paraguay,130219,Vegetable saps and extracts; n.e.c. in item no. 1302.1,kg,4467.0,4467.0,116584
2023,Brazil,exported_to,Paraguay,130220,Pectic substances; pectinates and pectates,kg,2276.0,2276.0,18506
2023,Brazil,exported_to,Paraguay,130232,"Mucilages and thickeners; whether or not modified, derived from locust beans, locust bean seeds or guar seeds",kg,1575.0,1575.0,17341
2023,Brazil,exported_to,Paraguay,130239,"Mucilages and thickeners; whether or not modified, derived from vegetable products, n.e.c. in item no. 1302.3",kg,15005.612,15005.612,113092
2023,Brazil,exported_to,Paraguay,140420,Vegetable products; cotton linters,kg,101.0,101.0,5007
2023,Brazil,exported_to,Paraguay,140490,Vegetable products; n.e.c. in chapter 14,kg,12.965,12.965,167
2023,Brazil,exported_to,Paraguay,150190,Poultry fat; other than that of heading 0209 or 1503,kg,58940.0,58940.0,59753
2023,Brazil,exported_to,Paraguay,150210,Tallow; other than those of heading 1503,kg,9792.0,9792.0,13959
2023,Brazil,exported_to,Paraguay,150420,"Fats and oils and their fractions; of fish, (excluding liver-oils)",kg,4.0,4.0,172
