year,reporter,trade_flow,partner,hs_code,commodity,unit_type,quantity,net_weight,cif_value,fob_value
2023,Paraguay,imported_from,Brazil,853310,"Electrical resistors; fixed carbon resistors, composition or film types (including rheostats and potentiometers but excluding heating resistors)",kg,9.75,9.75,1246.8,1136.21
2023,Paraguay,imported_from,Brazil,853321,"Electrical resistors; fixed, for a power handling capacity not exceeding 20W (including rheostats and potentiometers but excluding heating resistors and carbon resistors)",kg,254.234,254.234,5125.97,4987.48
2023,Paraguay,imported_from,Brazil,853329,"Electrical resistors; fixed, for a power handling capacity exceeding 20W (including rheostats and potentiometers but excluding heating resistors and carbon resistors)",kg,284.586,284.586,7694.83,7403.48
2023,Paraguay,imported_from,Brazil,853331,"Electrical resistors; wirewound variable, including rheostats and potentiometers, for a power handling capacity not exceeding 20W (excluding heating)",kg,74.753,74.753,7128.37,6664.37
2023,Paraguay,imported_from,Brazil,853339,"Electrical resistors; wirewound variable, including rheostats and potentiometers, for a power handling capacity exceeding 20W (excluding heating)",kg,368.47,368.47,24615.14,24086.98
2023,Paraguay,imported_from,Brazil,853340,"Electrical resistors; variable, including rheostats and potentiometers (excluding heating)",kg,5563.568,5563.568,232318.86,224387.65
2023,Paraguay,imported_from,Brazil,853400,Circuits; printed,kg,9835.09,9835.09,295043.51,287112.78
2023,Paraguay,imported_from,Brazil,853510,"Electrical apparatus; fuses, for a voltage exceeding 1000 volts",kg,120561.73,120561.73,963160.01,931410.74
2023,Paraguay,imported_from,Brazil,853521,"Electrical apparatus; automatic circuit breakers, for a voltage exceeding 1000 volts but less than 72.5kV",kg,3794.57,3794.57,86716.17,83795.88
2023,Paraguay,imported_from,Brazil,853529,"Electrical apparatus; automatic circuit breakers, for a voltage of 72.5kV or more",kg,70627.4,70627.4,1509796.81,1440190.17
2023,Paraguay,imported_from,Brazil,853530,"Electrical apparatus; isolating and make-and-break switches, for a voltage exceeding 1000 volts",kg,35470.18,35470.18,360054.04,342852.42
2023,Paraguay,imported_from,Brazil,853540,"Electrical apparatus; lightning arresters, voltage limiters and surge suppressors (for a voltage exceeding 1000 volts)",kg,68679.46,68679.46,598069.26,579713.56
2023,Paraguay,imported_from,Brazil,853590,"Electrical apparatus; n.e.c. in heading no. 8535, for switching or protecting electrical circuits, for a voltage exceeding 1000 volts",kg,101577.78,101577.78,1402179.79,1350870.62
2023,Paraguay,imported_from,Brazil,853610,"Electrical apparatus; fuses, for a voltage not exceeding 1000 volts",kg,7094.23,7094.23,138888.92,133798.44
2023,Paraguay,imported_from,Brazil,853620,"Electrical apparatus; automatic circuit breakers, for a voltage not exceeding 1000 volts",kg,53420.7,53420.7,682510.87,672186.47
2023,Paraguay,imported_from,Brazil,853630,"Electrical apparatus; for protecting electrical circuits, n.e.c. in heading no. 8536, for a voltage not exceeding 1000 volts",kg,9363.56,9363.56,94344.08,90728.15
2023,Paraguay,imported_from,Brazil,853641,"Electrical apparatus; relays, (for a voltage not exceeding 60 volts)",kg,53670.8,53670.8,1097519.89,1071200.98
2023,Paraguay,imported_from,Brazil,853649,"Electrical apparatus; relays, for a voltage exceeding 60 volts",kg,61555.08,61555.08,1295097.72,1265468.52
2023,Paraguay,imported_from,Brazil,853650,"Electrical apparatus; switches n.e.c. in heading no. 8536, for a voltage not exceeding 1000 volts",kg,63737.543,63737.543,1354615.348,1308807.45
2023,Paraguay,imported_from,Brazil,853661,"Electrical apparatus; lamp-holders, for a voltage not exceeding 1000 volts",kg,32082.3,32082.3,214908.33,208312.68
2023,Paraguay,imported_from,Brazil,853669,"Electrical apparatus; plugs and sockets, for a voltage not exceeding 1000 volts",kg,111977.62,111977.62,938688.66,905463.71
2023,Paraguay,imported_from,Brazil,853670,"Connectors for optical fibres, optical fibre bundles or cables",kg,5253.88,5253.88,125430.82,119021.18
