reporter,year,hs_code,applied_tariff,commodity
Paraguay,2021,30192,5.0,"Live eels ""Anguilla spp."""
Paraguay,2021,30193,5.0,"Live carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp."""
Paraguay,2021,30194,5.0,"Live Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)"
Paraguay,2021,30195,5.0,"Live southern bluefin tunas ""Thunnus maccoyii"""
Paraguay,2021,30199,5.0,"Live fish (excl. ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster], eels [Anguilla spp.], carp [Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.], Atlantic and Pacific bluefin tuna [Thunnus thynnus, Thunnus orientalis] and southern bluefin tuna [Thunnus maccoyii])"
Paraguay,2021,30211,10.0,"Fresh or chilled trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"""
Paraguay,2021,30213,10.0,"Fresh or chilled Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"""
Paraguay,2021,30214,10.0,"Fresh or chilled Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"""
Paraguay,2021,30219,10.0,"Fresh or chilled salmonidae (excl. trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"", Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"", Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"")"
Paraguay,2021,30221,10.0,"Fresh or chilled lesser or Greenland halibut ""Reinhardtius hippoglossoides, Atlantic halibut ""Hippoglossus hippoglossus"" and Pacific halibut ""Hippoglossus stenolepis"""
Paraguay,2021,30222,10.0,"Fresh or chilled plaice ""Pleuronectes platessa"""
Paraguay,2021,30223,10.0,"Fresh or chilled sole ""Solea spp."""
Paraguay,2021,30224,10.0,"Fresh or chilled turbot ""Psetta maxima"""
Paraguay,2021,30229,10.0,"Fresh or chilled flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Catharidae"" (excl. halibut ""Reinhardtius hippoglossoides, Hippoglossus hippoglossus and Hippoglossus stenolepis"", plaice ""Pleuronectes platessa"", sole ""Solea spp."" and turbot ""Psetta maxima"")"
Paraguay,2021,30231,10.0,"Fresh or chilled albacore or longfinned tunas ""Thunnus alalunga"""
Paraguay,2021,30232,10.0,"Fresh or chilled yellowfin tunas ""Thunnus albacares"""
Paraguay,2021,30233,10.0,Fresh or chilled skipjack or stripe-bellied bonito
Paraguay,2021,30234,10.0,"Fresh or chilled bigeye tunas ""Thunnus obesus"""
Paraguay,2021,30235,10.0,"Fresh or chilled Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)"
Paraguay,2021,30236,10.0,"Fresh or chilled Southern bluefin tunas ""Thunnus maccoyii"""
Paraguay,2021,30239,10.0,"Fresh or chilled tunas of the genus ""Thunnus"" (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus, Thunnus orientalis and Thunnus maccoyii)"
Paraguay,2021,30241,10.0,"Fresh or chilled herring ""Clupea harengus, clupea pallasii"""
Paraguay,2021,30242,10.0,"Fresh or chilled anchovies ""Engraulis spp."""
Paraguay,2021,30243,10.0,"Fresh or chilled sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", brisling or sprats ""Sprattus sprattus"""
Paraguay,2021,30244,10.0,"Fresh or chilled mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus"""
Paraguay,2021,30245,10.0,"Fresh or chilled jack and horse mackerel ""Trachurus spp."""
Paraguay,2021,30246,10.0,"Fresh or chilled cobia ""Rachycentron canadum"""
Paraguay,2021,30247,10.0,"Fresh or chilled swordfish ""Xiphias gladius"""
Paraguay,2021,30249,10.0,"Fresh or chilled Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus spp."", jacks, crevalles ""Caranx spp."", silver pomfrets ""Pampus spp."", Pacific saury ""Cololabis saira"", scads ""Decapterus spp."", capelin ""Mallotus villosus"", Kawakawa ""Euthynnus affinis"", bonitos ""Sarda spp."", marlins, sailfishes and spearfish ""Istiophoridae"""
Paraguay,2021,30251,0.0,"Fresh or chilled cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus"""
Paraguay,2021,30252,10.0,"Fresh or chilled haddock ""Melanogrammus aeglefinus"""
Paraguay,2021,30253,10.0,"Fresh or chilled coalfish ""Pollachius virens"""
Paraguay,2021,30254,10.0,"Fresh or chilled hake ""Merluccius spp., Urophycis spp."""
Paraguay,2021,30255,10.0,"Fresh or chilled Alaska pollack ""Theragra chalcogramma"""
Paraguay,2021,30256,10.0,"Fresh or chilled blue whiting ""Micromesistius poutassou, Micromesistius australis"""
Paraguay,2021,30259,10.0,"Fresh or chilled fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excl. cod, haddock, coalfish, hake, Alaska pollack and blue whitings)"
Paraguay,2021,30271,10.0,"Fresh or chilled tilapia ""Oreochromis spp."""
Paraguay,2021,30272,10.0,"Fresh or chilled catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp."""
Paraguay,2021,30273,10.0,"Fresh or chilled carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp."""
Paraguay,2021,30274,10.0,"Fresh or chilled eels ""Anguilla spp."""
Paraguay,2021,30279,10.0,"Fresh or chilled, Nile perch ""Lates niloticus"" and snakeheads ""Channa spp."""
Paraguay,2021,30281,10.0,Fresh or chilled dogfish and other sharks
Paraguay,2021,30282,10.0,"Fresh or chilled, rays and skates ""Rajidae"""
Paraguay,2021,30283,10.0,"Fresh or chilled toothfish ""Dissostichus spp."""
Paraguay,2021,30284,10.0,"Fresh or chilled sea bass ""Dicentrarchus spp."""
Paraguay,2021,30285,10.0,"Fresh or chilled sea bream ""Sparidae"""
Paraguay,2021,30289,10.0,"Fresh or chilled fish, n.e.s."
Paraguay,2021,30291,10.0,"Fresh or chilled fish livers, roes and milt"
Paraguay,2021,30292,10.0,Fresh or chilled shark fins
Paraguay,2021,30299,10.0,"Fresh or chilled fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, milt and shark fins)"
Paraguay,2021,30311,10.0,"Frozen sockeye salmon [red salmon] ""Oncorhynchus nerka"""
Paraguay,2021,30312,10.0,"Frozen Pacific salmon (excl. sockeye salmon ""red salmon"")"
