reporter,hs_code,bound_tariff,commodity
Paraguay,30619,35.0,"Frozen crustaceans, fit for human consumption, whether in shell or not, incl. crustaceans in shell, cooked beforehand by steaming or by boiling in water (excl. rock lobster and other sea crawfish, lobsters, shrimps, prawns and crabs); frozen flours, meals, and pellets of crustaceans, fit for human consumption"
Paraguay,30621,35.0,"Rock lobster and other sea crawfish ""Palinurus spp., Panulirus spp. and Jasus spp."", whether in shell or not, live, dried, salted or in brine, incl. in shell, cooked by steaming or by boiling in water"
Paraguay,30622,35.0,"Lobsters ""Homarus spp."", whether in shell or not, live, dried, salted or in brine, incl. lobsters in shell, cooked by steaming or by boiling in water"
Paraguay,30623,35.0,"Shrimps and prawns, whether in shell or not, live, dried, salted or in brine, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water"
Paraguay,30624,35.0,"Crabs, whether in shell or not, live, dried, salted or in brine, incl. crabs in shell, cooked by steaming or by boiling in water"
Paraguay,30629,35.0,"Crustaceans, fit for human consumption, whether in shell or not, live, fresh, chilled, dried, salted or in brine, incl. crustaceans in shell, cooked beforehand by steaming or by boiling in water (excl. rock lobster and other sea crawfish, lobsters, shrimps, prawns and crabs); flours, meals and pellets of crustaceans, fit for human consumption"
Paraguay,30710,35.0,"Oysters, live, fresh, chilled, frozen, dried, salted or in brine"
Paraguay,30721,35.0,"Live, fresh or chilled scallops, incl. queen scallops, of the genera Pecten, Chlamys or Placopecten, with or without shell"
Paraguay,30729,35.0,"Scallops, incl. queen scallops, of the genera Pecten, Chlamys or Placopecten, frozen, dried, salted or in brine, with or without shell"
Paraguay,30731,35.0,"Live, fresh or chilled mussels ""Mytilus spp., Perna spp."", with or without shell"
Paraguay,30739,35.0,"Mussels ""Mytilus spp., Perna spp."", frozen, dried, salted or in brine, with or without shell"
Paraguay,30741,35.0,"Live, fresh or chilled cuttle fish ""Sepia officinalis, Rossia macrosoma, Sepiola spp."" and squid ""Ommastrephes spp., Loligo spp., Nototodarus spp., Sepioteuthis spp."", with or without shell"
Paraguay,30749,35.0,"Cuttle fish ""Sepia officinalis, Rossia macrosoma, Sepiola spp."" and squid ""Ommastrephes spp., Loligo spp., Nototodarus spp., Sepioteuthis spp."", frozen, dried, salted or in brine, with or without shell"
Paraguay,30751,35.0,"Live, fresh or chilled octopus ""Octopus spp."", with or without shell"
Paraguay,30759,35.0,"Octopus ""Octopus spp."", frozen, dried, salted or in brine, with or without shell"
Paraguay,30760,35.0,"Snails, live, fresh, chilled, frozen, salted, dried or in brine, with or without shell (excl. sea snails)"
Paraguay,30791,35.0,"Live, fresh or chilled molluscs, fit for human consumption, whether in shell or not, incl. sea urchins, sea cucumbers and other aquatic invertebrates (other than crustaceans); fresh or chilled flours, meals and pellets of aquatic invertebrates (other than crustaceans), fit for human consumption (excl. oysters, scallops, queen scallops, mussels, cuttlefish, squids, octopus and snails other than sea snails)"
Paraguay,30799,35.0,"Molluscs, fit for human consumption, whether in shell or not, frozen, dried, salted or in brine, incl. sea urchins, sea cucumbers and other aquatic invertebrates (other than crustaceans); flours, meals and pellets of aquatic invertebrates (other than crustaceans), fit for human consumption (excl. chilled, and oysters, scallops, queen scallops, mussels, cuttlefish, squids, octopus and snails other than sea snails)"
Paraguay,40110,35.0,"Milk and cream of a fat content by weight of <= 1%, not concentrated nor containing added sugar or other sweetening matter"
Paraguay,40120,35.0,"Milk and cream of a fat content by weight of > 1% but <= 6%, not concentrated nor containing added sugar or other sweetening matter"
Paraguay,40130,35.0,"Milk and cream of a fat content by weight of > 6%, not concentrated nor containing added sugar or other sweetening matter"
Paraguay,40210,20.0,"Milk and cream in solid forms, of a fat content by weight of <= 1,5%"
Paraguay,40221,35.0,"Milk and cream in solid forms, of a fat content by weight of > 1,5%, unsweetened"
Paraguay,40229,35.0,"Milk and cream in solid forms, of a fat content by weight of > 1,5%, sweetened"
Paraguay,40291,35.0,"Milk and cream, concentrated but unsweetened (excl. in solid forms)"
Paraguay,40299,35.0,"Milk and cream, concentrated and sweetened (excl. in solid forms)"
Paraguay,40310,35.0,"Yogurt, whether or not flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa"
Paraguay,40390,35.0,"Buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa (excl. yogurt)"
Paraguay,40410,35.0,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter"
Paraguay,40490,35.0,"Products consisting of natural milk constituents, whether or not sweetened, n.e.s."
Paraguay,40510,35.0,Butter (excl. dehydrated butter and ghee)
Paraguay,40520,35.0,"Dairy spreads of a fat content, by weight, of >= 39% but < 80%"
Paraguay,40590,35.0,"Fats and oils derived from milk, and dehydrated butter and ghee (excl. natural butter, recombined butter and whey butter)"
Paraguay,40610,35.0,"Fresh cheese, i.e. unripened or uncured cheese, incl. whey cheese, and curd"
Paraguay,40620,35.0,Grated or powdered cheese
Paraguay,40630,35.0,"Processed cheese, not grated or powdered"
Paraguay,40640,35.0,Blue-veined cheese
Paraguay,40690,35.0,"Cheese (excl. fresh cheese, incl. whey cheese, not fermented, curd, processed cheese, blue-veined cheese, and grated or powdered cheese)"
Paraguay,40700,35.0,"Birds' eggs, in shell, fresh, preserved or cooked"
Paraguay,40811,35.0,"Dried egg yolks, whether or not sweetened"
Paraguay,40819,35.0,"Egg yolks, fresh, cooked by steaming or boiling in water, moulded, frozen or otherwise preserved, whether or not sweetened (excl. dried)"
Paraguay,40891,35.0,"Dried birds' eggs, not in shell, whether or not sweetened (excl. egg yolks)"
Paraguay,40899,35.0,"Birds' eggs, not in shell, fresh, cooked by steaming or boiling in water, moulded, frozen or otherwise preserved, whether or not sweetened (excl. dried)"
Paraguay,40900,35.0,Natural honey
Paraguay,41000,35.0,"Turtles' eggs, birds' nests and other edible products of animal origin, n.e.s."
Paraguay,50100,35.0,"Human hair, unworked, whether or not washed or scoured; waste of human hair"
Paraguay,50210,35.0,"Pigs', hogs' or boars' bristles and waste of such bristles"
Paraguay,50290,35.0,Badger and other brush making hair and waste thereof
Paraguay,50300,35.0,"Horsehair and horsehair waste, whether or not put up as a layer, with or without supporting material"
Paraguay,50400,35.0,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked"
Paraguay,50510,35.0,"Feathers used for stuffing and down, not further worked than cleaned, disinfected or treated for preservation"
Paraguay,50590,35.0,"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers, whether or not with trimmed edges, not further worked than cleaned, disinfected or treated for preservation; powder and waste of feathers or parts of feathers (excl. feathers used for stuffing and down)"
Paraguay,50610,35.0,Ossein and bones treated with acid
Paraguay,50690,35.0,"Bones and horn-cores and their powder and waste, unworked, defatted, degelatinised or simply prepared (excl. ossein and bones treated with acid and cut to shape)"
Paraguay,50710,35.0,"Ivory, unworked or simply prepared, its powder and waste (excl. cut to shape)"
Paraguay,50790,35.0,"Tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared, their powder and waste (excl. cut to shape and ivory)"
Paraguay,50800,35.0,"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder and waste thereof, unworked or simply prepared but not otherwise worked or cut to shape"
Paraguay,50900,35.0,Natural sponges of animal origin
Paraguay,51000,35.0,"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally preserved"
Paraguay,51110,10.0,Bovine semen
Paraguay,51191,35.0,"Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead fish, crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption"
Paraguay,51199,28.75,"Products of animal origin, n.e.s., dead animals, unfit for human consumption (excl. fish, crustaceans, molluscs or other aquatic invertebrates)"
Paraguay,60110,35.0,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant (excl. those used for human consumption and chicory plants and roots)"
Paraguay,60120,35.0,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower; chicory plants and roots (excl. those used for human consumption and chicory roots of the variety cichorium intybus sativum)"
Paraguay,60210,35.0,Unrooted cuttings and slips
Paraguay,60220,35.0,"Edible fruit or nut trees, shrubs and bushes, whether or not grafted"
Paraguay,60230,35.0,"Rhododendrons and azaleas, grafted or not"
Paraguay,60240,35.0,"Roses, whether or not grafted"
Paraguay,60290,35.0,"Live plants, incl. their roots, and mushroom spawn (excl. bulbs, tubers, tuberous roots, corms, crowns and rhizomes, incl. chicory plants and roots, unrooted cuttings and slips, fruit and nut trees, rhododendrons, azaleas and roses)"
Paraguay,60310,35.0,"Fresh cut flowers and flower buds, for bouquets or for ornamental purposes"
Paraguay,60390,35.0,"Dried, dyed, bleached, impregnated or otherwise prepared cut flowers and buds, for bouquets or for ornamental purposes"
Paraguay,60410,35.0,"Mosses and lichens for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared"
Paraguay,60491,35.0,"Foliage, branches and other parts of plants, without flowers or flower buds, grasses, fresh, for bouquets or ornamental purposes"
Paraguay,60499,35.0,"Foliage, branches and other parts of plants, without flowers or flower buds, grasses, for bouquets or ornamental purposes, dried, dyed, bleached, impregnated or otherwise prepared"
Paraguay,70110,10.0,Seed potatoes
Paraguay,70190,35.0,Fresh or chilled potatoes (excl. seed)
Paraguay,70200,35.0,"Tomatoes, fresh or chilled"
Paraguay,70310,35.0,Fresh or chilled onions and shallots
Paraguay,70320,35.0,"Garlic, fresh or chilled"
Paraguay,70390,35.0,"Leeks and other alliaceous vegetables, fresh or chilled (excl. onions, shallots and garlic)"
Paraguay,70410,35.0,Fresh or chilled cauliflowers and headed broccoli
Paraguay,70420,35.0,"Brussels sprouts, fresh or chilled"
Paraguay,70490,35.0,"Fresh or chilled cabbages, kohlrabi, kale and similar edible brassicas (excl. cauliflowers, headed broccoli and Brussels sprouts)"
Paraguay,70511,35.0,Fresh or chilled cabbage lettuce
Paraguay,70519,35.0,Fresh or chilled lettuce (excl. cabbage lettuce)
Paraguay,70521,35.0,Fresh or chilled witloof chicory
Paraguay,70529,35.0,Fresh or chilled chicory (excl. witloof chicory)
Paraguay,70610,35.0,Fresh or chilled carrots and turnips
