hs_4_code,reporter,ave_itic_rate
3824,Brazil,1.0188333333333333
3901,Brazil,1.0226666666666666
3902,Brazil,1.0511666666666668
3903,Brazil,1.1826666666666668
3904,Brazil,1.0106666666666666
3907,Brazil,1.0311666666666666
3908,Brazil,1.009
3909,Brazil,1.018
3910,Brazil,1.0286666666666666
3911,Brazil,1.0574999999999999
3915,Brazil,1.0543333333333333
3917,Brazil,1.0358333333333334
3918,Brazil,1.0083333333333333
3919,Brazil,1.0098333333333331
3920,Brazil,1.0128333333333333
3921,Brazil,1.005
3922,Brazil,1.0561666666666667
3923,Brazil,1.0170000000000001
3924,Brazil,1.0393333333333332
3925,Brazil,1.037
3926,Brazil,1.0636666666666665
4002,Brazil,1.0588333333333333
4003,Brazil,1.1908333333333332
4005,Brazil,1.2441666666666666
4006,Brazil,1.005
4009,Brazil,1.004
4010,Brazil,1.019
4012,Brazil,1.031
4013,Brazil,1.016
4016,Brazil,1.0728333333333333
4017,Brazil,1.0471666666666666
4101,Brazil,1.212
4104,Brazil,1.031
4107,Brazil,1.011
4202,Brazil,1.0095
4203,Brazil,1.016333333333333
4205,Brazil,1.0226666666666666
4302,Brazil,1.0946666666666667
4401,Brazil,1.1283333333333332
4402,Brazil,1.0756666666666665
4403,Brazil,1.0425
4404,Brazil,1.0711666666666666
4406,Brazil,1.0086666666666666
4407,Brazil,1.0345
4408,Brazil,1.0414999999999999
4409,Brazil,1.0558333333333334
4411,Brazil,1.0626666666666666
4412,Brazil,1.0381666666666667
4413,Brazil,1.0265
4415,Brazil,1.0251666666666666
4417,Brazil,1.0236666666666665
4418,Brazil,1.049
4421,Brazil,1.1736666666666666
4707,Brazil,1.0605
4802,Brazil,1.0595
4803,Brazil,1.0618333333333334
4804,Brazil,1.0126666666666668
4805,Brazil,1.0606666666666666
4808,Brazil,1.0673333333333332
4810,Brazil,1.1266666666666667
4811,Brazil,1.007
4813,Brazil,1.0225
4817,Brazil,1.011
4818,Brazil,1.0810000000000002
4819,Brazil,1.0555
4820,Brazil,1.0155
4821,Brazil,1.0166666666666666
4823,Brazil,1.012
4901,Brazil,1.0195
4902,Brazil,1.074
4910,Brazil,1.0241666666666667
4911,Brazil,1.0121666666666667
5002,Brazil,1.0268333333333333
5003,Brazil,1.0188333333333333
5004,Brazil,1.021
5005,Brazil,1.1921666666666668
5201,Brazil,1.0236666666666665
5205,Brazil,1.0134999999999998
5206,Brazil,1.1303333333333334
5208,Brazil,1.0083333333333333
5209,Brazil,1.0123333333333333
5210,Brazil,1.004
5211,Brazil,1.0614999999999999
5401,Brazil,1.0115
5402,Brazil,1.0155
5404,Brazil,1.0066666666666666
5405,Brazil,1.173
5407,Brazil,1.019
5501,Brazil,1.2245000000000001
5502,Brazil,1.0635000000000001
5505,Brazil,1.0911666666666668
5508,Brazil,1.0081666666666667
5509,Brazil,1.0073333333333332
5510,Brazil,1.005
5515,Brazil,1.0216666666666667
5601,Brazil,1.0146666666666666
5603,Brazil,1.0105
5607,Brazil,1.0098333333333334
5608,Brazil,1.0185
5609,Brazil,1.0171666666666666
5701,Brazil,1.0213333333333334
5702,Brazil,1.03
5703,Brazil,1.038
5704,Brazil,1.019
5705,Brazil,1.0058333333333334
5806,Brazil,1.014
5807,Brazil,1.003
5810,Brazil,1.005
5811,Brazil,1.0113333333333332
5901,Brazil,1.013
5903,Brazil,1.0153333333333332
5906,Brazil,1.009
5909,Brazil,1.0645
5911,Brazil,1.0576666666666668
6001,Brazil,1.0598333333333334
6004,Brazil,1.0086666666666666
6006,Brazil,1.0073333333333332
6101,Brazil,1.0039999999999998
6102,Brazil,1.0038333333333334
6103,Brazil,1.0043333333333333
6104,Brazil,1.0054999999999998
6105,Brazil,1.0048333333333332
6106,Brazil,1.0043333333333333
6107,Brazil,1.0041666666666667
6108,Brazil,1.0353333333333332
6109,Brazil,1.0053333333333334
6110,Brazil,1.032
6111,Brazil,1.0048333333333332
6112,Brazil,1.0263333333333333
6114,Brazil,1.009
6115,Brazil,1.0028333333333332
6201,Brazil,1.0133333333333334
6202,Brazil,1.0061666666666667
6203,Brazil,1.0143333333333333
6204,Brazil,1.0101666666666667
6205,Brazil,1.0075
6206,Brazil,1.0053333333333334
6207,Brazil,1.0048333333333332
6208,Brazil,1.0038333333333334
6209,Brazil,1.006
6210,Brazil,1.0235
6211,Brazil,1.0203333333333333
6212,Brazil,1.008
6216,Brazil,1.0254999999999999
6217,Brazil,1.0214999999999999
6301,Brazil,1.0058333333333334
6302,Brazil,1.0088333333333332
6303,Brazil,1.0066666666666666
6304,Brazil,1.007
6305,Brazil,1.0191666666666668
6307,Brazil,1.0183333333333333
6310,Brazil,1.0941666666666667
6402,Brazil,1.1033333333333333
6403,Brazil,1.0228333333333333
6404,Brazil,1.0086666666666666
6405,Brazil,1.1108333333333336
6406,Brazil,1.0088333333333332
6504,Brazil,1.0285
6505,Brazil,1.011
6506,Brazil,1.0893333333333335
6601,Brazil,1.0325
6703,Brazil,1.0423333333333333
6805,Brazil,1.0655
6810,Brazil,1.017
6812,Brazil,1.0553333333333332
6815,Brazil,1.0695
6904,Brazil,1.0718333333333334
6905,Brazil,1.0625
6907,Brazil,1.0273333333333332
6911,Brazil,1.019
6912,Brazil,1.0185
6914,Brazil,1.0846666666666667
7007,Brazil,1.0198333333333334
7009,Brazil,1.0426666666666666
7010,Brazil,1.127
7013,Brazil,1.081
7019,Brazil,1.0736666666666668
7020,Brazil,1.0555
