reporter,year,hs_code,applied_tariff,commodity
Brazil,2023,30199,4.0,"Live fish (excl. ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster], eels [Anguilla spp.], carp [Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.], Atlantic and Pacific bluefin tuna [Thunnus thynnus, Thunnus orientalis] and southern bluefin tuna [Thunnus maccoyii])"
Brazil,2023,30211,8.0,"Fresh or chilled trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"""
Brazil,2023,30213,8.0,"Fresh or chilled Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"""
Brazil,2023,30214,8.0,"Fresh or chilled Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"""
Brazil,2023,30219,8.0,"Fresh or chilled salmonidae (excl. trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"", Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"", Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"")"
Brazil,2023,30221,8.0,"Fresh or chilled lesser or Greenland halibut ""Reinhardtius hippoglossoides, Atlantic halibut ""Hippoglossus hippoglossus"" and Pacific halibut ""Hippoglossus stenolepis"""
Brazil,2023,30222,8.0,"Fresh or chilled plaice ""Pleuronectes platessa"""
Brazil,2023,30223,8.0,"Fresh or chilled sole ""Solea spp."""
Brazil,2023,30224,8.0,"Fresh or chilled turbot ""Psetta maxima"""
Brazil,2023,30229,8.0,"Fresh or chilled flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Catharidae"" (excl. halibut ""Reinhardtius hippoglossoides, Hippoglossus hippoglossus and Hippoglossus stenolepis"", plaice ""Pleuronectes platessa"", sole ""Solea spp."" and turbot ""Psetta maxima"")"
Brazil,2023,30231,8.0,"Fresh or chilled albacore or longfinned tunas ""Thunnus alalunga"""
Brazil,2023,30232,8.0,"Fresh or chilled yellowfin tunas ""Thunnus albacares"""
Brazil,2023,30233,8.0,Fresh or chilled skipjack or stripe-bellied bonito
Brazil,2023,30234,8.0,"Fresh or chilled bigeye tunas ""Thunnus obesus"""
Brazil,2023,30235,8.0,"Fresh or chilled Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)"
Brazil,2023,30236,8.0,"Fresh or chilled Southern bluefin tunas ""Thunnus maccoyii"""
