hs_code,br_x_q,br_x_unit,py_m_q,py_m_unit,br_x_nt_wgt,py_m_nt_wgt,br_x_value,itic_rate,applied_tariff,adj_x_value,py_m_value,trade_gap,est_tax_loss,wgt_gap,value_ratio,wgt_ratio,density
090121,308736.0,kg,295089.0,kg,308736.0,295089.0,2033502.0,1.04,10.0,2118095.68,2062840.9,55254.78,5525.48,13647.0,0.97,0.96,1.02
090122,4269.0,kg,4205.4,kg,4269.0,4205.4,45801.0,1.04,10.0,47706.32,45327.09,2379.23,237.92,63.6,0.95,0.99,0.96
090190,720.0,kg,5.6,kg,720.0,5.6,4380.0,1.04,10.0,4562.21,68.96,4493.25,449.32,714.4,0.02,0.01,1.94
090300,118624.0,kg,117556.66,kg,118624.0,117556.66,267684.0,1.07,10.0,286368.34,265208.19,21160.15,2116.02,1067.34,0.93,0.99,0.93
090411,53500.0,kg,53500.0,kg,53500.0,53500.0,174020.0,1.03,10.0,179693.05,174020.0,5673.05,567.31,0.0,0.97,1.0,0.97
090412,2500.0,kg,2500.0,kg,2500.0,2500.0,8280.0,1.03,10.0,8549.93,8280.0,269.93,26.99,0.0,0.97,1.0,0.97
090620,9200.0,kg,9200.0,kg,9200.0,9200.0,29855.0,1.04,10.0,31186.53,29855.0,1331.53,133.15,0.0,0.96,1.0,0.96
091020,53.0,kg,53.2,kg,53.0,53.2,355.0,1.1,10.0,389.51,355.05,34.46,3.45,-0.2,0.91,1.0,0.91
091030,2000.0,kg,2000.0,kg,2000.0,2000.0,4420.0,1.1,10.0,4849.62,4420.0,429.62,42.96,0.0,0.91,1.0,0.91
091099,710.0,kg,700.0,kg,710.0,700.0,2388.0,1.1,10.0,2620.11,2345.0,275.11,27.51,10.0,0.89,0.99,0.91
100510,18137565.0,kg,18181700.0,kg,18138893.0,18181700.0,95699463.0,1.03,0.0,99048944.2,106286618.83,-7237674.62,-0.0,-42807.0,1.07,1.0,1.07
100590,2026232.0,kg,747627.4,kg,2026232.0,747627.4,669677.0,1.03,8.0,693115.7,600994.84,92120.85,7369.67,1278604.6,0.87,0.37,2.35
100610,146960.0,kg,85320.0,kg,146960.0,85320.0,53741.0,1.11,6.67,59770.74,32594.88,27175.86,1811.72,61640.0,0.55,0.58,0.94
100620,66362.0,kg,252362.0,kg,66362.0,252362.0,55011.0,1.11,10.0,61183.23,130296.47,-69113.24,-6911.32,-186000.0,2.13,3.8,0.56
100630,195498.0,kg,195162.0,kg,195498.0,195162.0,156837.0,1.11,11.0,174434.11,156677.12,17756.99,1953.27,336.0,0.9,1.0,0.9
100640,0.0,NR,1.0,kg,0.0,1.0,0.0,1.11,10.0,0.0,2.0,-2.0,-0.2,-1.0,NXR,NXR,
100830,8250.0,kg,8250.0,kg,8250.0,8250.0,12919.0,1.08,4.0,13973.19,12916.3,1056.89,42.28,0.0,0.92,1.0,0.92
100890,13025.0,kg,37985.0,kg,13025.0,37985.0,16679.0,1.08,4.0,18040.01,176251.15,-158211.14,-6328.45,-24960.0,9.77,2.92,3.35
110100,0.0,NR,32100.0,kg,0.0,32100.0,0.0,1.04,12.0,0.0,16050.5,-16050.5,-1926.06,-32100.0,NXR,NXR,
110220,68849.0,kg,68205.2,kg,68849.0,68205.2,42151.0,1.06,10.0,44840.23,42154.34,2685.89,268.59,643.8,0.94,0.99,0.95
110290,5755.0,kg,4413.2,kg,5755.0,4413.2,5926.0,1.06,10.0,6304.08,4244.57,2059.51,205.95,1341.8,0.67,0.77,0.88
110311,300.0,kg,300.0,kg,300.0,300.0,424.0,1.18,10.0,498.96,423.82,75.14,7.51,0.0,0.85,1.0,0.85
110313,3322046.0,kg,3322050.0,kg,3322046.0,3322050.0,1126111.0,1.18,10.0,1325207.42,1126111.8,199095.62,19909.56,-4.0,0.85,1.0,0.85
110412,455707.0,kg,439561.0,kg,455707.0,439561.0,601387.0,1.1,10.0,662969.03,578427.77,84541.26,8454.13,16146.0,0.87,0.96,0.9
110419,8629.0,kg,8597.5,kg,8629.0,8597.5,8108.0,1.1,10.0,8938.26,7818.91,1119.35,111.93,31.5,0.87,1.0,0.88
110423,7830.0,kg,7092.53,kg,7830.0,7092.53,8829.0,1.1,10.0,9733.09,8844.59,888.5,88.85,737.47,0.91,0.91,1.0
110429,24005.0,kg,24004.8,kg,24005.0,24004.8,57676.0,1.1,10.0,63582.02,57676.92,5905.1,590.51,0.2,0.91,1.0,0.91
110520,36432.0,kg,36432.2,kg,36432.0,36432.2,153074.0,1.04,12.0,159380.65,152991.45,6389.2,766.7,-0.2,0.96,1.0,0.96
110620,61067.0,kg,56520.9,kg,61067.0,56520.9,83293.0,1.05,10.0,87224.43,81222.14,6002.29,600.23,4546.1,0.93,0.93,1.01
110630,3565.0,kg,6611.59,kg,3565.0,6611.59,18949.0,1.05,10.0,19843.39,36695.91,-16852.52,-1685.25,-3046.59,1.85,1.85,1.0
110710,23750.0,kg,23601.0,kg,23750.0,23601.0,21279.0,1.16,14.0,24764.5,21024.81,3739.69,523.56,149.0,0.85,0.99,0.85
110812,356266.0,kg,342717.0,kg,356266.0,342717.0,287904.0,1.13,10.0,325446.68,276298.5,49148.18,4914.82,13549.0,0.85,0.96,0.88
110813,0.0,NR,1.0,kg,0.0,1.0,0.0,1.13,10.0,0.0,1.0,-1.0,-0.1,-1.0,NXR,NXR,
110814,5219721.0,kg,3282572.5,kg,5219721.0,3282572.5,4916818.0,1.13,10.0,5557971.07,3108413.94,2449557.13,244955.71,1937148.5,0.56,0.63,0.89
110820,3.0,kg,2.5,kg,3.0,2.5,43.0,1.13,10.0,48.61,2.0,46.61,4.66,0.5,0.04,0.83,0.05
120400,284.0,kg,5.4,kg,284.0,5.4,1161.0,1.05,4.0,1223.69,31.81,1191.88,47.68,278.6,0.03,0.02,1.37
120600,26300.0,kg,26300.0,kg,26300.0,26300.0,27267.0,1.04,4.0,28324.96,27265.4,1059.56,42.38,0.0,0.96,1.0,0.96
120740,62100.0,kg,62101.5,kg,62100.0,62101.5,92529.0,1.04,4.0,96008.09,92530.0,3478.09,139.12,-1.5,0.96,1.0,0.96
120799,5.0,kg,5.4,kg,5.0,5.4,46.0,1.04,4.0,47.73,46.09,1.64,0.07,-0.4,0.97,1.08,0.89
120810,70000.0,kg,70000.0,kg,70000.0,70000.0,62500.0,1.05,10.0,65687.5,62500.0,3187.5,318.75,0.0,0.95,1.0,0.95
120890,546.0,kg,546.0,kg,546.0,546.0,1062.0,1.05,10.0,1116.16,1060.1,56.06,5.61,0.0,0.95,1.0,0.95
120922,8.0,kg,8.0,kg,8.0,8.0,48.0,1.02,0.0,49.18,48.0,1.18,0.0,0.0,0.98,1.0,0.98
120925,4.0,kg,4.0,kg,4.0,4.0,8.0,1.02,0.0,8.2,8.0,0.2,0.0,0.0,0.98,1.0,0.98
120929,1754092.0,kg,1699980.0,kg,1754092.0,1699980.0,6147015.0,1.02,0.0,6298231.57,5912040.04,386191.53,0.0,54112.0,0.94,0.97,0.97
120991,18389.0,kg,11524.2,kg,18389.0,11524.2,1302166.0,1.02,0.0,1334199.28,863361.91,470837.37,0.0,6864.8,0.65,0.63,1.03
120999,1.0,kg,140.63,kg,1.0,140.63,427.0,1.02,0.0,437.5,31018.05,-30580.55,-0.0,-139.63,70.9,140.63,0.5
121120,5.0,kg,5.0,kg,5.0,5.0,27.0,1.07,8.0,28.92,26.45,2.47,0.2,0.0,0.91,1.0,0.91
121190,24093.0,kg,23683.0,kg,24093.0,23683.0,105652.0,1.07,8.0,113174.42,101090.86,12083.56,966.68,410.0,0.89,0.98,0.91
121490,30000.0,kg,30000.0,kg,30000.0,30000.0,7507.0,1.09,8.0,8175.12,7506.6,668.52,53.48,0.0,0.92,1.0,0.92
130190,27669.0,kg,27669.0,kg,27669.0,27669.0,65659.0,1.12,6.0,73367.37,65659.24,7708.13,462.49,0.0,0.89,1.0,0.89
130219,4467.0,kg,3458.95,kg,4467.0,3458.95,116584.0,1.03,5.75,119848.35,101536.36,18311.99,1052.94,1008.05,0.85,0.77,1.09
130220,2276.0,kg,2220.0,kg,2276.0,2220.0,18506.0,1.03,8.0,19024.17,17476.51,1547.66,123.81,56.0,0.92,0.98,0.94
130232,1575.0,kg,1500.0,kg,1575.0,1500.0,17341.0,1.03,8.0,17826.55,16455.0,1371.55,109.72,75.0,0.92,0.95,0.97
130239,15005.61,kg,15000.4,kg,15005.61,15000.4,113092.0,1.03,9.0,116258.58,113001.2,3257.38,293.16,5.21,0.97,1.0,0.97
150790,903000.0,kg,825157.0,kg,903673.0,825157.0,1040805.0,1.02,11.33,1066408.8,934435.99,131972.81,14956.92,78516.0,0.88,0.91,0.96
151190,48254.0,kg,54936.7,kg,48254.0,54936.7,87733.0,1.02,10.0,89926.32,98872.79,-8946.46,-894.65,-6682.7,1.1,1.14,0.97
151319,29185.0,kg,28199.3,kg,29185.0,28199.3,243903.0,1.07,10.0,261366.45,240603.32,20763.13,2076.31,985.7,0.92,0.97,0.95
151321,0.0,NR,3132.0,kg,0.0,3132.0,0.0,1.07,10.0,0.0,6391.44,-6391.44,-639.14,-3132.0,NXR,NXR,
151329,18803.0,kg,15670.8,kg,18803.0,15670.8,35724.0,1.07,10.0,38281.84,29333.16,8948.68,894.87,3132.2,0.77,0.83,0.92
151419,1832.0,kg,1832.0,kg,1832.0,1832.0,11700.0,1.1,10.0,12928.5,11700.0,1228.5,122.85,0.0,0.9,1.0,0.9
151519,297.0,kg,3408.76,kg,297.0,3408.76,1518.0,1.07,10.0,1624.87,24987.08,-23362.21,-2336.22,-3111.76,15.38,11.48,1.34
151521,9073100.0,kg,1273100.0,kg,9073100.0,1273100.0,8416337.0,1.07,10.0,9008847.12,997935.5,8010911.62,801091.16,7800000.0,0.11,0.14,0.79
151529,580.0,kg,570.0,kg,580.0,570.0,1275.0,1.07,10.0,1364.76,1274.36,90.4,9.04,10.0,0.93,0.98,0.95
151530,5307.0,kg,2310.0,kg,5307.0,2310.0,30479.0,1.07,10.0,32624.72,5640.91,26983.81,2698.38,2997.0,0.17,0.44,0.4
151550,31.0,kg,24.0,kg,31.0,24.0,400.0,1.07,10.0,428.16,307.82,120.34,12.03,7.0,0.72,0.77,0.93
151590,7104.0,kg,7103.4,kg,7104.0,7103.4,26687.0,1.07,10.0,28565.76,26670.0,1895.76,189.58,0.6,0.93,1.0,0.93
151610,10000.0,kg,10000.0,kg,10000.0,10000.0,18500.0,1.09,10.0,20116.9,18500.0,1616.9,161.69,0.0,0.92,1.0,0.92
151620,670750.0,kg,654078.0,kg,670078.0,654078.0,1267878.0,1.09,10.0,1378690.54,1246477.41,132213.13,13221.31,16000.0,0.9,0.98,0.93
151710,1011438.0,kg,1001740.0,kg,1011438.0,1001740.0,1574970.0,1.07,12.0,1688682.83,1582326.98,106355.85,12762.7,9698.0,0.94,0.99,0.95
151790,828268.0,kg,801249.0,kg,828268.0,801249.0,1220877.0,1.07,12.0,1309024.32,1159520.14,149504.18,17940.5,27019.0,0.89,0.97,0.92
151800,524198.0,kg,537765.6,kg,524198.0,537765.6,827823.0,1.07,10.0,883618.27,890591.68,-6973.41,-697.34,-13567.6,1.01,1.03,0.98
152000,25657.0,kg,25583.42,kg,25657.0,25583.42,24367.0,1.07,9.0,25994.72,24368.8,1625.92,146.33,73.58,0.94,1.0,0.94
152110,2605.62,kg,0.0,NR,2605.62,0.0,16788.0,1.07,10.0,17990.02,15839.59,2150.43,215.04,2605.62,0.88,NMR,inf
152190,288.0,kg,288.0,kg,288.0,288.0,3772.0,1.07,10.0,4042.08,3780.64,261.44,26.14,0.0,0.94,1.0,0.94
160100,4544661.0,kg,4502420.0,kg,4544661.0,4502420.0,5930919.0,1.04,16.0,6149176.82,5926434.95,222741.87,35638.7,42241.0,0.96,0.99,0.97
160231,122709.0,kg,114255.0,kg,122709.0,114255.0,490809.0,1.05,16.0,515349.45,472618.69,42730.76,6836.92,8454.0,0.92,0.93,0.98
160232,650318.0,kg,647219.9,kg,650318.0,647219.9,1778718.0,1.05,16.0,1867653.9,1752645.88,115008.02,18401.28,3098.1,0.94,1.0,0.94
160241,287910.0,kg,287266.0,kg,287910.0,287266.0,820384.0,1.05,16.0,861403.2,818073.56,43329.64,6932.74,644.0,0.95,1.0,0.95
160242,110861.0,kg,110860.0,kg,110861.0,110860.0,329924.0,1.05,16.0,346420.2,329924.0,16496.2,2639.39,1.0,0.95,1.0,0.95
160249,1849841.0,kg,1823030.0,kg,1849841.0,1823030.0,3810784.0,1.05,16.0,4001323.2,3767849.93,233473.27,37355.72,26811.0,0.94,0.99,0.96
160250,514169.0,kg,514166.0,kg,514169.0,514166.0,1781508.0,1.05,16.0,1870583.4,1792425.69,78157.71,12505.23,3.0,0.96,1.0,0.96
160413,164835.0,kg,163258.0,kg,164835.0,163258.0,662554.0,1.04,16.0,691838.89,656575.18,35263.71,5642.19,1577.0,0.95,0.99,0.96
160414,46008.0,kg,44595.6,kg,46008.0,44595.6,252930.0,1.04,16.0,264109.51,242955.62,21153.89,3384.62,1412.4,0.92,0.97,0.95
160420,28945.0,kg,28287.3,kg,28945.0,28287.3,108791.0,1.04,16.0,113599.56,105644.67,7954.89,1272.78,657.7,0.93,0.98,0.95
170230,658861.0,kg,658861.0,kg,658861.0,658861.0,394029.0,1.11,16.0,438790.69,394024.64,44766.05,7162.57,0.0,0.9,1.0,0.9
